,pm10,so2,co,o3,no2,max,critical,category
0,60.0,4.0,73.0,27.0,14.0,73.0,CO,MODERATE
1,32.0,2.0,16.0,33.0,9.0,33.0,O3,GOOD
2,27.0,2.0,19.0,20.0,9.0,27.0,PM10,GOOD
3,22.0,2.0,16.0,15.0,6.0,22.0,PM10,GOOD
4,25.0,2.0,17.0,15.0,8.0,25.0,PM10,GOOD
5,30.0,3.0,22.0,19.0,11.0,30.0,PM10,GOOD
6,41.0,4.0,24.0,27.0,13.0,41.0,PM10,GOOD
7,64.0,8.0,51.0,19.0,15.0,64.0,PM10,MODERATE
8,55.0,5.0,39.0,23.0,16.0,55.0,PM10,MODERATE
9,34.0,5.0,23.0,26.0,12.0,34.0,PM10,GOOD
10,55.0,10.0,32.0,23.0,16.0,55.0,PM10,MODERATE
11,45.0,4.0,33.0,9.0,17.0,45.0,PM10,GOOD
12,28.0,5.0,29.0,10.0,12.0,29.0,CO,GOOD
13,38.0,6.0,28.0,15.0,10.0,38.0,PM10,GOOD
14,35.0,5.0,33.0,17.0,17.0,35.0,PM10,GOOD
15,54.0,5.0,38.0,17.0,18.0,54.0,PM10,MODERATE
16,44.0,4.0,28.0,22.0,14.0,44.0,PM10,GOOD
17,38.0,4.0,29.0,24.0,15.0,38.0,PM10,GOOD
18,40.0,3.0,43.0,23.0,23.0,43.0,CO,GOOD
19,61.0,5.0,63.0,16.0,17.0,63.0,CO,MODERATE
20,36.0,4.0,27.0,23.0,13.0,36.0,PM10,GOOD
21,51.0,4.0,45.0,14.0,13.0,51.0,PM10,MODERATE
22,35.0,3.0,30.0,20.0,14.0,35.0,PM10,GOOD
23,56.0,6.0,46.0,30.0,14.0,56.0,PM10,MODERATE
24,59.0,4.0,38.0,18.0,15.0,59.0,PM10,MODERATE
25,43.0,5.0,42.0,19.0,24.0,43.0,PM10,GOOD
26,54.0,8.0,38.0,40.0,16.0,54.0,PM10,MODERATE
27,72.0,8.0,55.0,20.0,17.0,72.0,PM10,MODERATE
28,51.0,8.0,24.0,19.0,11.0,51.0,PM10,MODERATE
29,47.0,8.0,32.0,19.0,12.0,47.0,PM10,GOOD
30,32.0,5.0,25.0,26.0,10.0,32.0,PM10,GOOD
31,41.0,7.0,30.0,17.0,13.0,41.0,PM10,GOOD
32,50.0,4.0,30.0,23.0,12.0,50.0,PM10,GOOD
33,49.0,7.0,33.0,57.0,23.0,57.0,O3,MODERATE
34,59.0,9.0,38.0,75.0,26.0,75.0,O3,MODERATE
35,63.0,7.0,39.0,41.0,23.0,63.0,PM10,MODERATE
36,65.0,8.0,59.0,24.0,15.0,65.0,PM10,MODERATE
37,60.0,10.0,45.0,47.0,17.0,60.0,PM10,MODERATE
38,46.0,5.0,31.0,42.0,17.0,46.0,PM10,GOOD
39,52.0,7.0,30.0,34.0,16.0,52.0,PM10,MODERATE
40,50.0,8.0,31.0,39.0,14.0,50.0,PM10,GOOD
41,47.0,5.0,27.0,26.0,14.0,47.0,PM10,GOOD
42,56.0,6.0,33.0,45.0,20.0,56.0,PM10,MODERATE
43,55.0,6.0,39.0,14.0,14.0,55.0,PM10,MODERATE
44,55.0,6.0,61.0,16.0,13.0,61.0,CO,MODERATE
45,40.0,4.0,30.0,63.0,22.0,63.0,O3,MODERATE
46,56.0,4.0,43.0,25.0,20.0,56.0,PM10,MODERATE
47,52.0,4.0,34.0,30.0,17.0,52.0,PM10,MODERATE
48,41.0,5.0,26.0,14.0,10.0,41.0,PM10,GOOD
49,37.0,4.0,43.0,17.0,17.0,43.0,CO,GOOD
50,52.0,3.0,64.0,18.0,12.0,64.0,CO,MODERATE
51,61.0,4.0,53.0,36.0,15.0,61.0,PM10,MODERATE
52,34.0,4.0,31.0,23.0,16.0,34.0,PM10,GOOD
53,57.0,7.0,35.0,42.0,18.0,57.0,PM10,MODERATE
54,59.0,4.0,44.0,93.0,24.0,93.0,O3,MODERATE
55,65.0,6.0,55.0,26.0,26.0,65.0,PM10,MODERATE
56,68.0,9.0,67.0,67.0,22.0,68.0,PM10,MODERATE
57,67.0,8.0,47.0,47.0,19.0,67.0,PM10,MODERATE
58,65.0,6.0,38.0,80.0,23.0,80.0,O3,MODERATE
59,60.0,5.0,39.0,44.0,19.0,60.0,PM10,MODERATE
60,74.0,8.0,56.0,68.0,27.0,74.0,PM10,MODERATE
61,54.0,12.0,35.0,77.0,25.0,77.0,O3,MODERATE
62,59.0,9.0,32.0,62.0,20.0,62.0,O3,MODERATE
63,62.0,11.0,35.0,31.0,19.0,62.0,PM10,MODERATE
64,72.0,10.0,54.0,43.0,23.0,72.0,PM10,MODERATE
65,59.0,7.0,46.0,57.0,19.0,59.0,PM10,MODERATE
66,56.0,7.0,37.0,39.0,18.0,56.0,PM10,MODERATE
67,45.0,5.0,33.0,27.0,15.0,45.0,PM10,GOOD
68,44.0,8.0,37.0,41.0,19.0,44.0,PM10,GOOD
69,51.0,6.0,37.0,18.0,14.0,51.0,PM10,MODERATE
70,43.0,6.0,42.0,39.0,20.0,43.0,PM10,GOOD
71,74.0,9.0,46.0,64.0,16.0,74.0,PM10,MODERATE
72,61.0,9.0,27.0,27.0,13.0,61.0,PM10,MODERATE
73,52.0,8.0,28.0,30.0,15.0,52.0,PM10,MODERATE
74,40.0,5.0,25.0,45.0,13.0,45.0,O3,GOOD
75,50.0,8.0,30.0,25.0,15.0,50.0,PM10,GOOD
76,58.0,10.0,33.0,23.0,15.0,58.0,PM10,MODERATE
77,63.0,10.0,44.0,36.0,18.0,63.0,PM10,MODERATE
78,54.0,11.0,29.0,66.0,19.0,66.0,O3,MODERATE
79,52.0,7.0,33.0,31.0,16.0,52.0,PM10,MODERATE
80,37.0,5.0,22.0,15.0,10.0,37.0,PM10,GOOD
81,52.0,9.0,44.0,42.0,29.0,52.0,PM10,MODERATE
82,57.0,7.0,41.0,99.0,29.0,99.0,O3,MODERATE
83,55.0,9.0,33.0,46.0,20.0,55.0,PM10,MODERATE
84,48.0,4.0,45.0,57.0,29.0,57.0,O3,MODERATE
85,61.0,18.0,41.0,59.0,16.0,61.0,PM10,MODERATE
86,56.0,4.0,44.0,45.0,13.0,56.0,PM10,MODERATE
87,50.0,2.0,34.0,27.0,25.0,50.0,PM10,GOOD
88,44.0,6.0,33.0,69.0,12.0,69.0,O3,MODERATE
89,58.0,5.0,57.0,69.0,14.0,69.0,O3,MODERATE
90,59.0,5.0,46.0,69.0,21.0,69.0,O3,MODERATE
91,57.0,4.0,31.0,88.0,18.0,88.0,O3,MODERATE
92,37.0,4.0,18.0,69.0,10.0,69.0,O3,MODERATE
93,39.0,18.0,29.0,69.0,10.0,69.0,O3,MODERATE
94,63.0,7.0,50.0,69.0,22.0,69.0,O3,MODERATE
95,70.0,9.0,52.0,69.0,27.0,70.0,PM10,MODERATE
96,70.0,14.0,42.0,62.0,25.0,70.0,PM10,MODERATE
97,65.0,15.0,54.0,102.0,27.0,102.0,O3,UNHEALTHY
98,59.0,12.0,46.0,27.0,15.0,59.0,PM10,MODERATE
99,40.0,10.0,33.0,33.0,12.0,40.0,PM10,GOOD
100,45.0,10.0,31.0,21.0,11.0,45.0,PM10,GOOD
101,66.0,19.0,39.0,80.0,25.0,80.0,O3,MODERATE
102,57.0,17.0,34.0,80.0,24.0,80.0,O3,MODERATE
103,70.0,16.0,40.0,59.0,21.0,70.0,PM10,MODERATE
104,70.0,13.0,57.0,41.0,19.0,70.0,PM10,MODERATE
105,38.0,11.0,30.0,42.0,13.0,42.0,O3,GOOD
106,38.0,10.0,26.0,28.0,12.0,38.0,PM10,GOOD
107,36.0,9.0,22.0,27.0,10.0,36.0,PM10,GOOD
108,36.0,18.0,24.0,20.0,10.0,36.0,PM10,GOOD
109,39.0,18.0,27.0,24.0,12.0,39.0,PM10,GOOD
110,41.0,18.0,23.0,30.0,12.0,41.0,PM10,GOOD
111,37.0,18.0,34.0,25.0,14.0,37.0,PM10,GOOD
112,29.0,18.0,22.0,23.0,12.0,29.0,PM10,GOOD
113,31.0,18.0,28.0,36.0,12.0,36.0,O3,GOOD
114,50.0,18.0,26.0,55.0,29.0,55.0,O3,MODERATE
115,58.0,18.0,31.0,67.0,29.0,67.0,O3,MODERATE
116,67.0,18.0,30.0,52.0,18.0,67.0,PM10,MODERATE
117,56.0,18.0,26.0,30.0,15.0,56.0,PM10,MODERATE
118,61.0,18.0,34.0,61.0,26.0,61.0,PM10,MODERATE
119,76.0,18.0,42.0,42.0,24.0,76.0,PM10,MODERATE
120,60.0,18.0,24.0,28.0,10.0,60.0,PM10,MODERATE
121,58.0,16.0,19.0,31.0,13.0,58.0,PM10,MODERATE
122,60.0,16.0,29.0,73.0,18.0,73.0,O3,MODERATE
123,53.0,13.0,27.0,31.0,16.0,53.0,PM10,MODERATE
124,53.0,16.0,26.0,35.0,15.0,53.0,PM10,MODERATE
125,53.0,19.0,25.0,21.0,11.0,53.0,PM10,MODERATE
126,67.0,19.0,33.0,33.0,16.0,67.0,PM10,MODERATE
127,57.0,16.0,24.0,26.0,9.0,57.0,PM10,MODERATE
128,57.0,16.0,28.0,51.0,16.0,57.0,PM10,MODERATE
129,57.0,14.0,43.0,75.0,26.0,75.0,O3,MODERATE
130,57.0,14.0,42.0,60.0,24.0,60.0,O3,MODERATE
131,61.0,12.0,50.0,32.0,19.0,61.0,PM10,MODERATE
132,52.0,15.0,40.0,65.0,21.0,65.0,O3,MODERATE
133,59.0,12.0,46.0,69.0,26.0,69.0,O3,MODERATE
134,52.0,14.0,45.0,92.0,26.0,92.0,O3,MODERATE
135,56.0,12.0,29.0,65.0,15.0,65.0,O3,MODERATE
136,55.0,15.0,55.0,32.0,16.0,55.0,PM10,MODERATE
137,57.0,17.0,45.0,50.0,25.0,57.0,PM10,MODERATE
138,69.0,14.0,39.0,79.0,18.0,79.0,O3,MODERATE
139,58.0,14.0,38.0,57.0,21.0,58.0,PM10,MODERATE
140,53.0,14.0,37.0,60.0,18.0,60.0,O3,MODERATE
141,63.0,16.0,50.0,54.0,21.0,63.0,PM10,MODERATE
142,57.0,14.0,28.0,50.0,23.0,57.0,PM10,MODERATE
143,54.0,15.0,37.0,42.0,21.0,54.0,PM10,MODERATE
144,56.0,18.0,34.0,43.0,18.0,56.0,PM10,MODERATE
145,55.0,15.0,41.0,123.0,34.0,123.0,O3,UNHEALTHY
